Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),25/10/2024,SEMILEITO PREMIUM,""R$179,16"",,2024-10-23 18:24:15"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,SEMILEITO PREMIUM,""R$132,48"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$295,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,SEMILEITO PREMIUM,""R$137,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CONV. DD,""R$133,73"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$390,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$422,53"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,EXEC. DD,""R$143,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$390,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,SEMILEITO PREMIUM,""R$157,48"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,CAMA,""R$390,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),26/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:24"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$157,48"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$162,23"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$171,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$380,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,EXECUTIVO,""R$152,01"",,2024-10-23 18:24:34"
São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,R$,,2024-10-23 18:24:34
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$201,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$206,48"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$485,23"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$201,73"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$485,23"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CONVENCIONAL,""R$173,21"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,CAMA,""R$451,98"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),27/10/2024,SEMILEITO PREMIUM,""R$157,48"",,2024-10-23 18:24:34"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$132,48"",,2024-10-23 18:24:43"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$295,23"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$137,23"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$146,73"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$157,48"",,2024-10-23 18:24:44"
São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,R$,,2024-10-23 18:24:44
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$147,98"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$404,48"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$404,48"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,CAMA,""R$390,23"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),28/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:44"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$132,48"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$137,23"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$266,73"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CONV. DD,""R$114,73"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$157,48"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$404,48"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,EXECUTIVO,""R$142,01"",,2024-10-23 18:24:53"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$147,98"",,2024-10-23 18:24:54"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$404,48"",,2024-10-23 18:24:54"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$404,48"",,2024-10-23 18:24:54"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:54"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,CAMA,""R$390,23"",,2024-10-23 18:24:54"
"São Paulo (Rod. Tietê) (SP),Belo Horizonte (MG),29/10/2024,SEMILEITO PREMIUM,""R$143,23"",,2024-10-23 18:24:54"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CONV. DD,""R$159,41"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CAMA,""R$467,19"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,EXECUTIVO,""R$129,99"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,SEMILEITO PREMIUM,""R$179,14"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CAMA,""R$423,29"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CAMA,""R$299,99"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,SEMILEITO PREMIUM,""R$139,99"",,2024-10-23 18:25:38"
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,SEMILEITO PREMIUM,""R$159,99"",,2024-10-23 18:25:38"
Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CAMA,R$,,2024-10-23 18:25:38
Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,CAMA,R$,,2024-10-23 18:25:38
"Belo Horizonte (MG),São Paulo (Rod. Tietê) (SP),23/10/2024,SEMILEITO PREMIUM,""R$169,99"",,2024-10-23 18:25:38"
